Timestamp;Value
2008-01-01;-4114
2008-01-02;-4117
2008-01-03;-4118
2008-01-04;-4119
2008-01-05;-4124
2008-01-06;-4127
2008-01-07;-4129
2008-01-08;-4132
2008-01-09;-4136
2008-01-10;-4140
2008-01-11;-4146
2008-01-12;-4147
2008-01-13;-4149
2008-01-14;-4152
2008-01-15;-4158
2008-01-16;-4163
2008-01-17;-4166
2008-01-18;-4169
2008-01-19;-4172
2008-01-20;-4175
2008-01-21;-4178
2008-01-22;-4180
2008-01-23;-4183
2008-01-24;-4186
2008-01-25;-4189
2008-01-26;-4192
2008-01-27;-4195
2008-01-28;-4197
2008-01-29;-4199
2008-01-30;-4201
2008-01-31;-4204
2008-02-01;-4207
2008-02-02;-4210
2008-02-03;-4212
2008-02-04;-4216
2008-02-05;-4218
2008-02-06;-4219
2008-02-07;-4223
2008-02-08;-4226
2008-02-09;-4230
2008-02-10;-4233
2008-02-11;-4236
2008-02-12;-4239
2008-02-13;-4242
2008-02-14;-4246
2008-02-15;-4249
2008-02-16;-4252
2008-02-17;-4255
2008-02-18;-4258
2008-02-19;-4261
2008-02-20;-4262
2008-02-21;-4264
2008-02-22;-4270
2008-02-23;-4273
2008-02-24;-4276
2008-02-25;-4279
2008-02-26;-4284
2008-02-27;-4288
2008-02-28;-4291
2008-02-29;-4294
2008-03-01;-4295
2008-03-02;-4298
2008-03-03;-4300
2008-03-04;-4303
2008-03-05;-4307
2008-03-06;-4310
2008-03-07;-4313
2008-03-08;-4317
2008-03-09;-4321
2008-03-10;-4323
2008-03-11;-4327
2008-03-12;-4329
2008-03-13;-4331
2008-03-14;-4334
2008-03-15;-4337
2008-03-16;-4341
2008-03-17;-4344
2008-03-18;-4348
2008-03-19;-4350
2008-03-20;-4351
2008-03-21;-4355
2008-03-22;-4360
2008-03-23;-4362
2008-03-24;-4365
2008-03-25;-4366
2008-03-26;-4369
2008-03-27;-4373
2008-03-28;-4377
2008-03-29;-4381
2008-03-30;-4384
2008-03-31;-4388
2008-04-01;-4391
2008-04-02;-4394
2008-04-03;-4397
2008-04-04;-4402
2008-04-05;-4406
2008-04-06;-4409
2008-04-07;-4411
2008-04-08;-4415
2008-04-09;-4418
2008-04-10;-4420
2008-04-11;-4423
2008-04-12;-4426
2008-04-13;-4430
2008-04-14;-4434
2008-04-15;-4437
2008-04-16;-4442
2008-04-17;-4446
2008-04-18;-4450
2008-04-19;-4453
2008-04-20;-4456
2008-04-21;-4458
2008-04-22;-4458
2008-04-23;-4460
2008-04-24;-4461
2008-04-25;-4463
2008-04-26;-4463
2008-04-27;-4463
2008-04-28;-4463
2008-04-29;-4467
2008-04-30;-4468
2008-05-01;-4470
2008-05-02;-4472
2008-05-03;-4473
2008-05-04;-4475
2008-05-05;-4475
2008-05-06;-4475
2008-05-07;-4473
2008-05-08;-4473
2008-05-09;-4471
2008-05-10;-4468
2008-05-11;-4466
2008-05-12;-4465
2008-05-13;-4464
2008-05-14;-4461
2008-05-15;-4458
2008-05-16;-4453
2008-05-17;-4451
2008-05-18;-4449
2008-05-19;-4447
2008-05-20;-4444
2008-05-21;-4442
2008-05-22;-4440
2008-05-23;-4439
2008-05-24;-4440
2008-05-25;-4441
2008-05-26;-4441
2008-05-27;-4441
2008-05-28;-4442
2008-05-29;-4444
2008-05-30;-4445
2008-05-31;-4448
2008-06-01;-4449
2008-06-02;-4450
2008-06-03;-4451
2008-06-04;-4452
2008-06-05;-4453
2008-06-06;-4453
2008-06-07;-4454
2008-06-08;-4455
2008-06-09;-4455
2008-06-10;-4456
2008-06-11;-4458
2008-06-12;-4459
2008-06-13;-4461
2008-06-14;-4462
2008-06-15;-4462
2008-06-16;-4462
2008-06-17;-4464
2008-06-18;-4465
2008-06-19;-4466
2008-06-20;-4468
2008-06-21;-4469
2008-06-22;-4472
2008-06-23;-4473
2008-06-24;-4475
2008-06-25;-4475
2008-06-26;-4477
2008-06-27;-4477
2008-06-28;-4480
2008-06-29;-4482
2008-06-30;-4482
2008-07-01;-4482
2008-07-02;-4485
2008-07-03;-4487
2008-07-04;-4489
2008-07-05;-4489
2008-07-06;-4483
2008-07-07;-4478
2008-07-08;-4462
2008-07-09;-4450
2008-07-10;-4445
2008-07-11;-4439
2008-07-12;-4433
2008-07-13;-4429
2008-07-14;-4421
2008-07-15;-4414
2008-07-16;-4406
2008-07-17;-4399
2008-07-18;-4392
2008-07-19;-4389
2008-07-20;-4386
2008-07-21;-4382
2008-07-22;-4382
2008-07-23;-4382
2008-07-24;-4380
2008-07-25;-4378
2008-07-26;-4376
2008-07-27;-4375
2008-07-28;-4375
2008-07-29;-4372
2008-07-30;-4365
2008-07-31;-4358
2008-08-01;-4344
2008-08-02;-4332
2008-08-03;-4323
2008-08-04;-4312
2008-08-05;-4300
2008-08-06;-4283
2008-08-07;-4270
2008-08-08;-4257
2008-08-09;-4242
2008-08-10;-4234
2008-08-11;-4227
2008-08-12;-4219
2008-08-13;-4216
2008-08-14;-4211
2008-08-15;-4207
2008-08-16;-4204
2008-08-17;-4199
2008-08-18;-4194
2008-08-19;-4189
2008-08-20;-4182
2008-08-21;-4182
2008-08-22;-4181
2008-08-23;-4180
2008-08-24;-4179
2008-08-25;-4176
2008-08-26;-4175
2008-08-27;-4172
2008-08-28;-4169
2008-08-29;-4167
2008-08-30;-4166
2008-08-31;-4165
2008-09-01;-4161
2008-09-02;-4157
2008-09-03;-4149
2008-09-04;-4141
2008-09-05;-4138
2008-09-06;-4132
2008-09-07;-4125
2008-09-08;-4111
2008-09-09;-4088
2008-09-10;-4070
2008-09-11;-4062
2008-09-12;-4055
2008-09-13;-4050
2008-09-14;-4047
2008-09-15;-4039
2008-09-16;-4028
2008-09-17;-3997
2008-09-18;-3988
2008-09-19;-3971
2008-09-20;-3960
2008-09-21;-3941
2008-09-22;-3934
2008-09-23;-3926
2008-09-24;-3920
2008-09-25;-3914
2008-09-26;-3909
2008-09-27;-3909
2008-09-28;-3907
2008-09-29;-3905
2008-09-30;-3904
2008-10-01;-3903
2008-10-02;-3903
2008-10-03;-3903
2008-10-04;-3903
2008-10-05;-3902
2008-10-06;-3901
2008-10-07;-3902
2008-10-08;-3903
2008-10-09;-3903
2008-10-10;-3901
2008-10-11;-3901
2008-10-12;-3901
2008-10-13;-3902
2008-10-14;-3902
2008-10-15;-3903
2008-10-16;-3905
2008-10-17;-3905
2008-10-18;-3908
2008-10-19;-3910
2008-10-20;-3909
2008-10-21;-3909
2008-10-22;-3910
2008-10-23;-3912
2008-10-24;-3913
2008-10-25;-3913
2008-10-26;-3908
2008-10-27;-3907
2008-10-28;-3909
2008-10-29;-3909
2008-10-30;-3911
2008-10-31;-3911
2008-11-01;-3912
2008-11-02;-3911
2008-11-03;-3914
2008-11-04;-3916
2008-11-05;-3921
2008-11-06;-3922
2008-11-07;-3923
2008-11-08;-3927
2008-11-09;-3929
2008-11-10;-3932
2008-11-11;-3934
2008-11-12;-3937
2008-11-13;-3940
2008-11-14;-3942
2008-11-15;-3944
2008-11-16;-3946
2008-11-17;-3948
2008-11-18;-3949
2008-11-19;-3951
2008-11-20;-3954
2008-11-21;-3956
2008-11-22;-3957
2008-11-23;-3959
2008-11-24;-3961
2008-11-25;-3964
2008-11-26;-3968
2008-11-27;-3970
2008-11-28;-3973
2008-11-29;-3976
2008-11-30;-3978
2008-12-01;-3979
2008-12-02;-3981
2008-12-03;-3983
2008-12-04;-3984
2008-12-05;-3985
2008-12-06;-3987
2008-12-07;-3991
2008-12-08;-3993
2008-12-09;-3996
2008-12-10;-3998
2008-12-11;-4000
2008-12-12;-4003
2008-12-13;-4006
