Timestamp;Value
2008-01-01;-4125
2008-01-02;-4129
2008-01-03;-4130
2008-01-04;-4135
2008-01-05;-4136
2008-01-06;-4140
2008-01-07;-4141
2008-01-08;-4145
2008-01-09;-4149
2008-01-10;-4152
2008-01-11;-4156
2008-01-12;-4159
2008-01-13;-4162
2008-01-14;-4165
2008-01-15;-4169
2008-01-16;-4172
2008-01-17;-4177
2008-01-18;-4180
2008-01-19;-4183
2008-01-20;-4186
2008-01-21;-4189
2008-01-22;-4192
2008-01-23;-4195
2008-01-24;-4196
2008-01-25;-4199
2008-01-26;-4203
2008-01-27;-4206
2008-01-28;-4209
2008-01-29;-4212
2008-01-30;-4214
2008-01-31;-4216
2008-02-01;-4218
2008-02-02;-4222
2008-02-03;-4224
2008-02-04;-4227
2008-02-05;-4229
2008-02-06;-4233
2008-02-07;-4237
2008-02-08;-4239
2008-02-09;-4243
2008-02-10;-4245
2008-02-11;-4247
2008-02-12;-4251
2008-02-13;-4254
2008-02-14;-4258
2008-02-15;-4261
2008-02-16;-4265
2008-02-17;-4269
2008-02-18;-4271
2008-02-19;-4274
2008-02-20;-4278
2008-02-21;-4281
2008-02-22;-4283
2008-02-23;-4285
2008-02-24;-4288
2008-02-25;-4291
2008-02-26;-4294
2008-02-27;-4297
2008-02-28;-4300
2008-02-29;-4303
2008-03-01;-4304
2008-03-02;-4307
2008-03-03;-4310
2008-03-04;-4314
2008-03-05;-4318
2008-03-06;-4322
2008-03-07;-4326
2008-03-08;-4328
2008-03-09;-4332
2008-03-10;-4334
2008-03-11;-4338
2008-03-12;-4340
2008-03-13;-4343
2008-03-14;-4346
2008-03-15;-4348
2008-03-16;-4352
2008-03-17;-4354
2008-03-18;-4357
2008-03-19;-4362
2008-03-20;-4364
2008-03-21;-4368
2008-03-22;-4371
2008-03-23;-4374
2008-03-24;-4377
2008-03-25;-4381
2008-03-26;-4384
2008-03-27;-4386
2008-03-28;-4391
2008-03-29;-4395
2008-03-30;-4398
2008-03-31;-4402
2008-04-01;-4406
2008-04-02;-4409
2008-04-03;-4412
2008-04-04;-4419
2008-04-05;-4421
2008-04-06;-4427
2008-04-07;-4429
2008-04-08;-4432
2008-04-09;-4436
2008-04-10;-4440
2008-04-11;-4443
2008-04-12;-4446
2008-04-13;-4450
2008-04-14;-4450
2008-04-15;-4452
2008-04-16;-4458
2008-04-17;-4460
2008-04-18;-4466
2008-04-19;-4469
2008-04-20;-4471
2008-04-21;-4474
2008-04-22;-4476
2008-04-23;-4477
2008-04-24;-4476
2008-04-25;-4478
2008-04-26;-4480
2008-04-27;-4481
2008-04-28;-4484
2008-04-29;-4485
2008-04-30;-4487
2008-05-01;-4489
2008-05-02;-4491
2008-05-03;-4491
2008-05-04;-4492
2008-05-05;-4492
2008-05-06;-4491
2008-05-07;-4489
2008-05-08;-4487
2008-05-09;-4484
2008-05-10;-4480
2008-05-11;-4478
2008-05-12;-4477
2008-05-13;-4477
2008-05-14;-4473
2008-05-15;-4469
2008-05-16;-4467
2008-05-17;-4465
2008-05-18;-4460
2008-05-19;-4458
2008-05-20;-4456
2008-05-21;-4453
2008-05-22;-4451
2008-05-23;-4452
2008-05-24;-4452
2008-05-25;-4453
2008-05-26;-4453
2008-05-27;-4454
2008-05-28;-4454
2008-05-29;-4458
2008-05-30;-4460
2008-05-31;-4461
2008-06-01;-4462
2008-06-02;-4462
2008-06-03;-4463
2008-06-04;-4464
2008-06-05;-4466
2008-06-06;-4466
2008-06-07;-4467
2008-06-08;-4467
2008-06-09;-4467
2008-06-10;-4468
2008-06-11;-4468
2008-06-12;-4470
2008-06-13;-4469
2008-06-14;-4471
2008-06-15;-4473
2008-06-16;-4477
2008-06-17;-4478
2008-06-18;-4481
2008-06-19;-4481
2008-06-20;-4481
2008-06-21;-4485
2008-06-22;-4486
2008-06-23;-4486
2008-06-24;-4489
2008-06-25;-4491
2008-06-26;-4492
2008-06-27;-4494
2008-06-28;-4495
2008-06-29;-4497
2008-06-30;-4498
2008-07-01;-4500
2008-07-02;-4500
2008-07-03;-4500
2008-07-04;-4499
2008-07-05;-4498
2008-07-06;-4492
2008-07-07;-4490
2008-07-08;-4473
2008-07-09;-4461
2008-07-10;-4455
2008-07-11;-4448
2008-07-12;-4445
2008-07-13;-4438
2008-07-14;-4430
2008-07-15;-4425
2008-07-16;-4416
2008-07-17;-4409
2008-07-18;-4404
2008-07-19;-4401
2008-07-20;-4397
2008-07-21;-4393
2008-07-22;-4393
2008-07-23;-4391
2008-07-24;-4391
2008-07-25;-4389
2008-07-26;-4387
2008-07-27;-4386
2008-07-28;-4385
2008-07-29;-4384
2008-07-30;-4378
2008-07-31;-4368
2008-08-01;-4358
2008-08-02;-4346
2008-08-03;-4338
2008-08-04;-4324
2008-08-05;-4314
2008-08-06;-4300
2008-08-07;-4280
2008-08-08;-4266
2008-08-09;-4256
2008-08-10;-4250
2008-08-11;-4244
2008-08-12;-4235
2008-08-13;-4227
2008-08-14;-4222
2008-08-15;-4218
2008-08-16;-4214
2008-08-17;-4209
2008-08-18;-4206
2008-08-19;-4201
2008-08-20;-4200
2008-08-21;-4193
2008-08-22;-4191
2008-08-23;-4190
2008-08-24;-4188
2008-08-25;-4186
2008-08-26;-4185
2008-08-27;-4182
2008-08-28;-4179
2008-08-29;-4178
2008-08-30;-4177
2008-08-31;-4176
2008-09-01;-4174
2008-09-02;-4169
2008-09-03;-4158
2008-09-04;-4157
2008-09-05;-4150
2008-09-06;-4143
2008-09-07;-4142
2008-09-08;-4120
2008-09-09;-4097
2008-09-10;-4081
2008-09-11;-4072
2008-09-12;-4065
2008-09-13;-4061
2008-09-14;-4056
2008-09-15;-4050
2008-09-16;-4037
2008-09-17;-4011
2008-09-18;-3988
2008-09-19;-3984
2008-09-20;-3969
2008-09-21;-3951
2008-09-22;-3944
2008-09-23;-3935
2008-09-24;-3930
2008-09-25;-3927
2008-09-26;-3923
2008-09-27;-3922
2008-09-28;-3920
2008-09-29;-3919
2008-09-30;-3917
2008-10-01;-3915
2008-10-02;-3914
2008-10-03;-3914
2008-10-04;-3914
2008-10-05;-3913
2008-10-06;-3912
2008-10-07;-3913
2008-10-08;-3913
2008-10-09;-3913
2008-10-10;-3912
2008-10-11;-3911
2008-10-12;-3912
2008-10-13;-3912
2008-10-14;-3912
2008-10-15;-3913
2008-10-16;-3914
2008-10-17;-3914
2008-10-18;-3916
2008-10-19;-3918
2008-10-20;-3919
2008-10-21;-3918
2008-10-22;-3921
2008-10-23;-3922
2008-10-24;-3917
2008-10-25;-3917
2008-10-26;-3918
2008-10-27;-3919
2008-10-28;-3921
2008-10-29;-3921
2008-10-30;-3921
2008-10-31;-3922
2008-11-01;-3923
2008-11-02;-3925
2008-11-03;-3927
2008-11-04;-3929
2008-11-05;-3930
2008-11-06;-3931
2008-11-07;-3935
2008-11-08;-3938
2008-11-09;-3940
2008-11-10;-3943
2008-11-11;-3947
2008-11-12;-3951
2008-11-13;-3951
2008-11-14;-3952
2008-11-15;-3954
2008-11-16;-3956
2008-11-17;-3957
2008-11-18;-3958
2008-11-19;-3961
2008-11-20;-3963
2008-11-21;-3965
2008-11-22;-3966
2008-11-23;-3968
2008-11-24;-3970
2008-11-25;-3973
2008-11-26;-3979
2008-11-27;-3981
2008-11-28;-3984
2008-11-29;-3986
2008-11-30;-3987
2008-12-01;-3989
2008-12-02;-3992
2008-12-03;-3994
2008-12-04;-3996
2008-12-05;-3998
2008-12-06;-3999
2008-12-07;-4001
2008-12-08;-4003
2008-12-09;-4005
2008-12-10;-4008
2008-12-11;-4010
2008-12-12;-4013
2008-12-13;-4018
2008-12-14;-4020
2008-12-15;-4022
2008-12-16;-4025
2008-12-17;-4027
2008-12-18;-4028
2008-12-19;-4030
2008-12-20;-4032
2008-12-21;-4034
2008-12-22;-4037
2008-12-23;-4040
2008-12-24;-4041
2008-12-25;-4044
2008-12-26;-4047
2008-12-27;-4050
2008-12-28;-4052
2008-12-29;-4055
2008-12-30;-4058
2008-12-31;-4060
2009-01-01;-4063
2009-01-02;-4065
2009-01-03;-4068
2009-01-04;-4070
2009-01-05;-4072
2009-01-06;-4075
2009-01-07;-4077
2009-01-08;-4079
2009-01-09;-4082
2009-01-10;-4085
2009-01-11;-4087
2009-01-12;-4090
2009-01-13;-4092
2009-01-14;-4094
2009-01-15;-4097
2009-01-16;-4100
2009-01-17;-4102
2009-01-18;-4105
2009-01-19;-4107
2009-01-20;-4110
2009-01-21;-4112
2009-01-22;-4112
2009-01-23;-4114
2009-01-24;-4116
2009-01-25;-4117
2009-01-26;-4122
2009-01-27;-4126
2009-01-28;-4129
2009-01-29;-4134
2009-01-30;-4136
2009-01-31;-4137
2009-02-01;-4141
2009-02-02;-4143
2009-02-03;-4147
2009-02-04;-4149
2009-02-05;-4152
2009-02-06;-4154
2009-02-07;-4155
2009-02-08;-4157
2009-02-09;-4159
2009-02-10;-4163
2009-02-11;-4165
2009-02-12;-4168
2009-02-13;-4171
2009-02-14;-4174
2009-02-15;-4176
2009-02-16;-4179
2009-02-17;-4182
2009-02-18;-4185
2009-02-19;-4189
2009-02-20;-4192
2009-02-21;-4195
2009-02-22;-4197
2009-02-23;-4200
2009-02-24;-4203
2009-02-25;-4208
2009-02-26;-4210
2009-02-27;-4214
2009-02-28;-4219
2009-03-01;-4222
2009-03-02;-4224
2009-03-03;-4227
2009-03-04;-4230
2009-03-05;-4232
2009-03-06;-4235
2009-03-07;-4238
2009-03-08;-4240
2009-03-09;-4243
2009-03-10;-4247
2009-03-11;-4250
2009-03-12;-4254
2009-03-13;-4256
2009-03-14;-4261
2009-03-15;-4264
2009-03-16;-4268
2009-03-17;-4272
2009-03-18;-4275
2009-03-19;-4278
2009-03-20;-4282
2009-03-21;-4286
2009-03-22;-4289
2009-03-23;-4293
2009-03-24;-4295
2009-03-25;-4297
2009-03-26;-4300
2009-03-27;-4302
2009-03-28;-4306
2009-03-29;-4310
2009-03-30;-4314
2009-03-31;-4317
2009-04-01;-4323
2009-04-02;-4327
2009-04-03;-4327
2009-04-04;-4328
2009-04-05;-4328
2009-04-06;-4330
2009-04-07;-4333
2009-04-08;-4334
2009-04-09;-4336
2009-04-10;-4338
2009-04-11;-4343
2009-04-12;-4345
2009-04-13;-4346
2009-04-14;-4350
2009-04-15;-4352
2009-04-16;-4355
2009-04-17;-4361
2009-04-18;-4365
2009-04-19;-4370
2009-04-20;-4372
2009-04-21;-4374
2009-04-22;-4376
2009-04-23;-4378
2009-04-24;-4380
2009-04-25;-4382
2009-04-26;-4384
2009-04-27;-4386
2009-04-28;-4387
2009-04-29;-4383
2009-04-30;-4367
2009-05-01;-4358
2009-05-02;-4348
2009-05-03;-4334
2009-05-04;-4317
2009-05-05;-4300
2009-05-06;-4290
2009-05-07;-4285
2009-05-08;-4279
2009-05-09;-4274
2009-05-10;-4272
2009-05-11;-4269
2009-05-12;-4268
2009-05-13;-4267
2009-05-14;-4266
2009-05-15;-4265
2009-05-16;-4264
2009-05-17;-4263
2009-05-18;-4260
2009-05-19;-4255
2009-05-20;-4248
2009-05-21;-4249
2009-05-22;-4239
2009-05-23;-4235
2009-05-24;-4231
2009-05-25;-4230
2009-05-26;-4229
2009-05-27;-4228
2009-05-28;-4228
2009-05-29;-4231
2009-05-30;-4232
2009-05-31;-4230
2009-06-01;-4227
2009-06-02;-4224
2009-06-03;-4216
2009-06-04;-4215
2009-06-05;-4214
2009-06-06;-4212
2009-06-07;-4215
2009-06-08;-4216
2009-06-09;-4216
2009-06-10;-4216
2009-06-11;-4216
2009-06-12;-4215
2009-06-13;-4209
2009-06-14;-4207
2009-06-15;-4207
2009-06-16;-4209
2009-06-17;-4209
2009-06-18;-4211
2009-06-19;-4213
2009-06-20;-4213
2009-06-21;-4215
2009-06-22;-4212
2009-06-23;-4208
2009-06-24;-4203
2009-06-25;-4199
2009-06-26;-4194
2009-06-27;-4191
2009-06-28;-4187
2009-06-29;-4188
2009-06-30;-4190
2009-07-01;-4190
2009-07-02;-4190
2009-07-03;-4191
2009-07-04;-4192
2009-07-05;-4194
2009-07-06;-4195
2009-07-07;-4195
2009-07-08;-4195
2009-07-09;-4195
2009-07-10;-4185
2009-07-11;-4180
2009-07-12;-4175
2009-07-13;-4174
2009-07-14;-4169
2009-07-15;-4169
2009-07-16;-4169
2009-07-17;-4169
2009-07-18;-4170
2009-07-19;-4170
2009-07-20;-4170
2009-07-21;-4170
2009-07-22;-4172
2009-07-23;-4174
2009-07-24;-4177
2009-07-25;-4174
2009-07-26;-4178
2009-07-27;-4178
2009-07-28;-4177
2009-07-29;-4177
2009-07-30;-4175
2009-07-31;-4175
2009-08-01;-4176
2009-08-02;-4165
2009-08-03;-4159
2009-08-04;-4144
2009-08-05;-4124
2009-08-06;-4112
2009-08-07;-4106
2009-08-08;-4100
2009-08-09;-4098
2009-08-10;-4097
2009-08-11;-4092
2009-08-12;-4088
2009-08-13;-4080
2009-08-14;-4073
2009-08-15;-4066
2009-08-16;-4061
2009-08-17;-4059
2009-08-18;-4053
2009-08-19;-4052
2009-08-20;-4047
2009-08-21;-4046
2009-08-22;-4044
2009-08-23;-4044
2009-08-24;-4043
2009-08-25;-4042
2009-08-26;-4036
2009-08-27;-4030
2009-08-28;-4029
2009-08-29;-4025
2009-08-30;-4022
2009-08-31;-4021
2009-09-01;-4018
2009-09-02;-4013
2009-09-03;-4012
2009-09-04;-4009
2009-09-05;-3994
2009-09-06;-3985
2009-09-07;-3971
2009-09-08;-3957
2009-09-09;-3942
2009-09-10;-3925
2009-09-11;-3919
2009-09-12;-3916
2009-09-13;-3911
2009-09-14;-3905
2009-09-15;-3903
2009-09-16;-3897
2009-09-17;-3890
2009-09-18;-3882
2009-09-19;-3867
2009-09-20;-3860
2009-09-21;-3852
2009-09-22;-3848
2009-09-23;-3840
2009-09-24;-3838
2009-09-25;-3831
